No.,Time,PM2.5 [ug/m3] - _zone_1,PM2.5 [ug/m3] - _zone_2,PM2.5 [ug/m3] - _zone_3,PM2.5 [ug/m3] - _zone_4,PM2.5 [ug/m3] - _zone_5,PM2.5 [ug/m3] - _zone_6,PM2.5 [ug/m3] - _zone_7
128,1/6 02:00:00 Fri,14.9471435546875,10.1173753738403,10.249174118042,10.1325874328613,14.5165958404541,10.1137084960938,10.1022977828979
129,1/6 03:00:00 Fri,9.7947998046875,9.00611782073975,9.15229988098145,9.00692176818848,10.6307277679443,9.00639820098877,9.0081615447998
130,1/6 04:00:00 Fri,6.19221544265747,4.063063621521,4.16364717483521,4.07088088989258,7.26855707168579,4.0629096031189,4.05725288391113
131,1/6 05:00:00 Fri,6.04301118850708,6.9642391204834,6.9349250793457,6.95956373214722,6.31286716461182,6.96147441864014,6.95529270172119
132,1/6 06:00:00 Fri,6.83846282958984,6.99999809265137,6.9922513961792,6.99999189376831,6.85111951828003,7.00000095367432,7
133,1/6 07:00:00 Fri,9.52484226226807,9.98519134521484,9.94411182403564,9.9831428527832,8.99278450012207,9.97257041931152,9.94781589508057
134,1/6 08:00:00 Fri,6.05624008178711,5.03698348999023,5.09876108169556,5.04175758361816,6.77636337280273,5.05359077453613,5.08065795898438
135,1/6 09:00:00 Fri,3.32715201377869,3.01036095619202,3.04009294509888,3.01178169250488,3.82763457298279,3.0200982093811,3.03897929191589
136,1/6 10:00:00 Fri,11.7429628372192,12.9511919021606,12.8020133972168,12.9436264038086,10.2541666030884,12.9186677932739,12.8394403457642
137,1/6 11:00:00 Fri,8.44619941711426,7.06665372848511,7.14228534698486,7.0751051902771,9.13668155670166,7.07466459274292,7.09950065612793
138,1/6 12:00:00 Fri,7.73364686965942,7.98500633239746,7.9665961265564,7.98312377929688,7.91147899627686,7.98528575897217,7.98663473129272
139,1/6 13:00:00 Fri,7.46308660507202,7.02097415924072,7.05203294754028,7.02370119094849,7.4079647064209,7.0201563835144,7.01780414581299
140,1/6 14:00:00 Fri,7.1452112197876,7.00093173980713,7.00449991226196,7.00107336044312,7.07797241210938,7.00068664550781,7.00047588348389
141,1/6 15:00:00 Fri,6.42929458618164,6.01254415512085,6.07039976119995,6.01417112350464,6.47320508956909,6.01050806045532,6.01181411743164
142,1/6 16:00:00 Fri,8.12876033782959,9.91442584991455,9.78439617156982,9.90334129333496,8.35536861419678,9.91784477233887,9.92770671844482
143,1/6 17:00:00 Fri,8.0644359588623,7.05583000183105,7.1338906288147,7.06308937072754,7.96491098403931,7.05384397506714,7.04753303527832
144,1/6 18:00:00 Fri,8.30680084228516,8.96674537658691,8.95412254333496,8.96261787414551,8.20675277709961,8.96397495269775,8.96277904510498
145,1/6 19:00:00 Fri,8.86035919189453,8.9978199005127,8.99848556518555,8.99751949310303,8.82214546203613,8.99750232696533,8.9972620010376
146,1/6 20:00:00 Fri,8.4247350692749,8.01639270782471,8.02140235900879,8.0184326171875,8.46096992492676,8.01797199249268,8.01880264282227
147,1/6 21:00:00 Fri,8.04603099822998,8.00122261047363,8,8.00137424468994,8.08215522766113,8.00150108337402,8.00182723999023
148,1/6 22:00:00 Fri,9.93967056274414,10.9528951644897,10.9419269561768,10.9470739364624,9.74724197387695,10.9480991363525,10.9448947906494
149,1/6 23:00:00 Fri,10.2684020996094,10.012788772583,10.0187835693359,10.0143709182739,10.2307767868042,10.0137348175049,10.0139770507813
150,1/6 24:00:00 Fri,11.338415145874,11.9698038101196,11.9633798599243,11.9660797119141,11.2126626968384,11.9666557312012,11.9644107818604
151,1/7 00:00:00 Sat,11.338415145874,11.9698038101196,11.9633798599243,11.9660797119141,11.2126626968384,11.9666557312012,11.9644107818604
152,1/7 01:00:00 Sat,10.0612487792969,9.04188442230225,9.05459690093994,9.04710388183594,10.2087059020996,9.04603481292725,9.04825210571289
153,1/7 02:00:00 Sat,11.5695266723633,12.9445447921753,12.9277496337891,12.9376363754272,11.3793907165527,12.9389982223511,12.9360160827637
